ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.72181E+11,7.96025E+17,3234635095,TWEET FROM: papi_45th,PAPI_45TH,https://t.co/V0ay4sRFza,http://twitter.com/3234635095/statuses/796024718327422976,TWITTER,Unknown,English,No,11/8/2016 16:20,11/15/2016 12:01,Neutral,0,0,0,0,0,0,0,26,28,41,RETWEET
5.7146E+11,7.95407E+17,1969981309,TWEET FROM: JazzyLadyDay,JAZZYLADYDAY,"'@BlackToLive the joys of capitalism!!im convinced Dr.King wz killd 4his criticism of cap&Vietnam,as much as civil rights!'",http://twitter.com/1969981309/statuses/795407323594444800,TWITTER,United States,English,No,11/6/2016 23:27,11/13/2016 13:15,Positive,0,0,0,0,0,0,0,932,858,21184,RETWEET
5.7146E+11,7.94971E+17,7.22504E+17,TWEET FROM: Tonysmi84070351,TONYSMI84070351,"'@BlackToLive the joys of capitalism!!im convinced Dr.King wz killd 4his criticism of cap&Vietnam,as much as civil rights!'",http://twitter.com/722504292263964673/statuses/794971446082682880,TWITTER,Unknown,English,No,11/5/2016 18:35,11/13/2016 13:15,Positive,0,0,0,0,0,0,0,247,105,8270,
5.70283E+11,7.9377E+17,230216894,TWEET FROM: 1_and_only_grip,1_AND_ONLY_GRIP,"#ldBeAsleepRightNow but I can't, I must stay woke af https://t.co/JeimDwVtrb",http://twitter.com/230216894/statuses/793769618749829120,TWITTER,United States,English,No,11/2/2016 10:59,11/10/2016 7:29,Neutral,0,0,0,0,0,0,0,1422,1322,32223,RETWEET
5.69675E+11,7.96139E+17,7.6279E+17,TWEET FROM: IKeliha,IKELIHA,T.I. to Lil Wayne: ‘you MUST STOP this buffoonery & coonin’ you out here doin’ https://t.co/fmnOtqEUCR,http://twitter.com/762790477775114240/statuses/796139483058081792,TWITTER,Unknown,English,No,11/8/2016 23:56,11/8/2016 23:57,Neutral,0,0,0,0,0,0,0,45,15,254,RETWEET
5.69674E+11,7.96139E+17,7.40508E+17,TWEET FROM: TheXMan11111,THEXMAN11111,this is why it's hard not to despise certain white people... https://t.co/fXHKn2LFQB,http://twitter.com/740507573477113856/statuses/796138861713821701,TWITTER,United States,English,No,11/8/2016 23:54,11/8/2016 23:55,Positive,0,0,0,0,0,0,0,2036,635,6122,RETWEET
5.69674E+11,7.96139E+17,7.40508E+17,TWEET FROM: TheXMan11111,THEXMAN11111,Cop Who Killed Sam DuBose Was Wearing Confederate Flag T-Shirt https://t.co/kMBXgaGG1A,http://twitter.com/740507573477113856/statuses/796138684852609024,TWITTER,United States,English,No,11/8/2016 23:53,11/8/2016 23:53,Negative,0,0,0,0,0,0,0,2036,635,6120,RETWEET
5.69673E+11,7.96138E+17,49069711,TWEET FROM: Hammonda1,HAMMONDA1,"A black man rides a bus restricted to whites only, in an act of resistance to South Africa’s apartheid policies, 1986. ONLY 30 years ago https://t.co/AFrN8328sZ",http://twitter.com/49069711/statuses/796138494087331840,TWITTER,Sri Lanka,English,No,11/8/2016 23:53,11/8/2016 23:53,Negative,0,0,0,0,0,0,0,1426,6546,10661,RETWEET
5.69673E+11,7.96138E+17,4662771624,TWEET FROM: _pinkndpurple,_PINKNDPURPLE,"If you're reading this, you gonna be alright. #saturdaymorning RT for that one person in your life who needs motivation. https://t.co/vGoV4REFVR",http://twitter.com/4662771624/statuses/796138279036997632,TWITTER,United States,English,No,11/8/2016 23:52,11/8/2016 23:52,Positive,0,0,0,0,0,0,0,3365,1385,37392,RETWEET
5.69673E+11,7.96138E+17,7.22938E+17,TWEET FROM: jyor_,JYOR_,"If you're reading this, you gonna be alright. #saturdaymorning RT for that one person in your life who needs motivation. https://t.co/vGoV4REFVR",http://twitter.com/722938067896573954/statuses/796138138808832000,TWITTER,United States,English,No,11/8/2016 23:51,11/8/2016 23:51,Positive,0,0,0,0,0,0,0,419,666,20966,RETWEET
